yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,maybe,maybe,yes,False
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,maybe,maybe,yes,False
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,no,no,yes,False
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,no,no,yes,False
yes,yes,yes,yes,True
yes,no,no,yes,False
yes,maybe,maybe,yes,False
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,maybe,maybe,yes,False
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,no,no,yes,False
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,no,no,yes,False
yes,no,no,yes,False
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,maybe,maybe,yes,False
yes,no,no,yes,False
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,no,no,yes,False
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,no,no,yes,False
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,no,no,yes,False
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,maybe,maybe,yes,False
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,maybe,maybe,yes,False
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,no,no,yes,False
yes,no,no,yes,False
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
yes,yes,yes,yes,True
